graph_id,src,dst,ef_0
BACE_604,0,1,1.5
BACE_604,1,0,1.5
BACE_604,1,2,1.5
BACE_604,2,1,1.5
BACE_604,2,3,1.5
BACE_604,3,2,1.5
BACE_604,3,4,1.5
BACE_604,4,3,1.5
BACE_604,4,5,1.0
BACE_604,5,4,1.0
BACE_604,5,6,1.0
BACE_604,6,5,1.0
BACE_604,6,7,1.0
BACE_604,7,6,1.0
BACE_604,7,8,2.0
BACE_604,8,7,2.0
BACE_604,7,9,1.0
BACE_604,9,7,1.0
BACE_604,9,10,1.0
BACE_604,10,9,1.0
BACE_604,10,11,1.0
BACE_604,11,10,1.0
BACE_604,11,12,1.5
BACE_604,12,11,1.5
BACE_604,12,13,1.5
BACE_604,13,12,1.5
BACE_604,13,14,1.5
BACE_604,14,13,1.5
BACE_604,14,15,1.5
BACE_604,15,14,1.5
BACE_604,15,16,1.5
BACE_604,16,15,1.5
BACE_604,16,17,1.5
BACE_604,17,16,1.5
BACE_604,17,18,1.5
BACE_604,18,17,1.5
BACE_604,18,19,1.5
BACE_604,19,18,1.5
BACE_604,19,20,1.5
BACE_604,20,19,1.5
BACE_604,20,21,1.0
BACE_604,21,20,1.0
BACE_604,15,22,1.0
BACE_604,22,15,1.0
BACE_604,22,23,1.5
BACE_604,23,22,1.5
BACE_604,23,24,1.5
BACE_604,24,23,1.5
BACE_604,24,25,1.5
BACE_604,25,24,1.5
BACE_604,25,26,1.5
BACE_604,26,25,1.5
BACE_604,26,27,1.5
BACE_604,27,26,1.5
BACE_604,27,28,1.0
BACE_604,28,27,1.0
BACE_604,9,29,1.0
BACE_604,29,9,1.0
BACE_604,4,0,1.5
BACE_604,0,4,1.5
BACE_604,20,11,1.5
BACE_604,11,20,1.5
BACE_604,27,22,1.5
BACE_604,22,27,1.5
BACE_604,18,13,1.5
BACE_604,13,18,1.5
BACE_662,0,1,2.0
BACE_662,1,0,2.0
BACE_662,0,2,2.0
BACE_662,2,0,2.0
BACE_662,0,3,1.0
BACE_662,3,0,1.0
BACE_662,3,4,1.0
BACE_662,4,3,1.0
BACE_662,4,5,1.0
BACE_662,5,4,1.0
BACE_662,5,6,1.0
BACE_662,6,5,1.0
BACE_662,6,7,1.0
BACE_662,7,6,1.0
BACE_662,3,8,1.0
BACE_662,8,3,1.0
BACE_662,8,9,1.5
BACE_662,9,8,1.5
BACE_662,9,10,1.5
BACE_662,10,9,1.5
BACE_662,10,11,1.5
BACE_662,11,10,1.5
BACE_662,11,12,1.5
BACE_662,12,11,1.5
BACE_662,12,13,1.5
BACE_662,13,12,1.5
BACE_662,12,14,1.0
BACE_662,14,12,1.0
BACE_662,14,15,2.0
BACE_662,15,14,2.0
BACE_662,14,16,1.0
BACE_662,16,14,1.0
BACE_662,16,17,1.0
BACE_662,17,16,1.0
BACE_662,17,18,1.0
BACE_662,18,17,1.0
BACE_662,18,19,1.0
BACE_662,19,18,1.0
BACE_662,18,20,1.0
BACE_662,20,18,1.0
BACE_662,20,21,1.0
BACE_662,21,20,1.0
BACE_662,21,22,1.0
BACE_662,22,21,1.0
BACE_662,22,23,1.0
BACE_662,23,22,1.0
BACE_662,23,24,1.5
BACE_662,24,23,1.5
BACE_662,24,25,1.5
BACE_662,25,24,1.5
BACE_662,25,26,1.0
BACE_662,26,25,1.0
BACE_662,26,27,1.0
BACE_662,27,26,1.0
BACE_662,25,28,1.5
BACE_662,28,25,1.5
BACE_662,28,29,1.5
BACE_662,29,28,1.5
BACE_662,29,30,1.5
BACE_662,30,29,1.5
BACE_662,17,31,1.0
BACE_662,31,17,1.0
BACE_662,31,32,1.0
BACE_662,32,31,1.0
BACE_662,32,33,1.5
BACE_662,33,32,1.5
BACE_662,33,34,1.5
BACE_662,34,33,1.5
BACE_662,34,35,1.0
BACE_662,35,34,1.0
BACE_662,34,36,1.5
BACE_662,36,34,1.5
BACE_662,36,37,1.5
BACE_662,37,36,1.5
BACE_662,37,38,1.0
BACE_662,38,37,1.0
BACE_662,37,39,1.5
BACE_662,39,37,1.5
BACE_662,10,40,1.0
BACE_662,40,10,1.0
BACE_662,40,41,1.0
BACE_662,41,40,1.0
BACE_662,40,42,1.0
BACE_662,42,40,1.0
BACE_662,7,0,1.0
BACE_662,0,7,1.0
BACE_662,13,8,1.5
BACE_662,8,13,1.5
BACE_662,30,23,1.5
BACE_662,23,30,1.5
BACE_662,39,32,1.5
BACE_662,32,39,1.5
BACE_1201,0,1,2.0
BACE_1201,1,0,2.0
BACE_1201,0,2,2.0
BACE_1201,2,0,2.0
BACE_1201,0,3,1.0
BACE_1201,3,0,1.0
BACE_1201,3,4,1.0
BACE_1201,4,3,1.0
BACE_1201,3,5,1.0
BACE_1201,5,3,1.0
BACE_1201,5,6,1.5
BACE_1201,6,5,1.5
BACE_1201,6,7,1.5
BACE_1201,7,6,1.5
BACE_1201,7,8,1.5
BACE_1201,8,7,1.5
BACE_1201,8,9,1.5
BACE_1201,9,8,1.5
BACE_1201,9,10,1.5
BACE_1201,10,9,1.5
BACE_1201,9,11,1.0
BACE_1201,11,9,1.0
BACE_1201,11,12,2.0
BACE_1201,12,11,2.0
BACE_1201,11,13,1.0
BACE_1201,13,11,1.0
BACE_1201,13,14,1.0
BACE_1201,14,13,1.0
BACE_1201,14,15,1.0
BACE_1201,15,14,1.0
BACE_1201,15,16,1.0
BACE_1201,16,15,1.0
